Ranking,Title,Type,Japanese,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members
73,Suzumiya Haruhi no Shoushitsu,Movie,涼宮ハルヒの消失,6-Feb-10,1,2 hr. 41 min.,8.62,Light novel,"MysteryMystery,Sci-FiSci-Fi,SupernaturalSupernatural",SchoolSchool,Funimation,"Kadokawa Shoten,Animation Do",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"561,004"
74,Death Note,TV,デスノート,"Oct 4, 2006 to Jun 27, 2007",37,23 min. per ep.,8.62,Manga,"SupernaturalSupernatural,SuspenseSuspense",PsychologicalPsychological,VIZ Media,"VAP,Konami,Ashi Production,Nippon Television Network,Shueisha",R - 17+ (violence & profanity),Finished Airing,Madhouse,"3,416,942"
75,Fruits Basket: Prelude,Movie,フルーツバスケット -prelude-,18-Feb-22,1,1 hr. 28 min.,8.6,Manga,"DramaDrama,RomanceRomance",None,add some,8PAN,PG-13 - Teens 13 or older,Finished Airing,TMS Entertainment,"57,231"
76,Mushishi Zoku Shou: Suzu no Shizuku,Movie,蟲師 続章: 鈴の雫,16-May-15,1,47 min.,8.6,Manga,"AdventureAdventure,FantasyFantasy,MysteryMystery,Slice of LifeSlice of Life,SupernaturalSupernatural","Adult CastAdult Cast,HistoricalHistorical,IyashikeiIyashikei",add some,"Aniplex,Kodansha,Delfi Sound",PG-13 - Teens 13 or older,Finished Airing,Artland,"115,099"
77,Ookami Kodomo no Ame to Yuki,Movie,おおかみこどもの雨と雪,21-Jul-12,1,1 hr. 57 min.,8.59,Original,"FantasyFantasy,Slice of LifeSlice of Life",ChildcareChildcare,Funimation,"Madhouse,VAP,Dentsu,Yomiuri Telecasting,Kadokawa Shoten,Toho,Hiroshima Television",G - All Ages,Finished Airing,Studio Chizu,"737,110"
78,Hajime no Ippo: Rising,TV,はじめの一歩 Rising,"Oct 6, 2013 to Mar 29, 2014",25,22 min. per ep.,8.59,Manga,SportsSports,Combat SportsCombat Sports,add some,"VAP,Kodansha,Nippon Television Network",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"216,235"
79,Kizumonogatari II: Nekketsu-hen,Movie,傷物語〈Ⅱ熱血篇〉,19-Aug-16,1,1 hr. 4 min.,8.59,Light novel,"ActionAction,MysteryMystery,SupernaturalSupernatural",VampireVampire,Aniplex of America,"Aniplex,Kodansha",R - 17+ (violence & profanity),Finished Airing,Shaft,"393,467"
80,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,ジョジョの奇妙な冒険 黄金の風,"Oct 6, 2018 to Jul 28, 2019",39,23 min. per ep.,8.58,Manga,"ActionAction,AdventureAdventure",Organized CrimeOrganized Crime,VIZ Media,"Warner Bros. Japan,KlockWorx,Medicos Entertainment,Shueisha",R - 17+ (violence & profanity),Finished Airing,David Production,"842,770"
81,Natsume Yuujinchou Go,TV,夏目友人帳 伍,"Oct 5, 2016 to Dec 21, 2016",11,23 min. per ep.,8.58,Manga,"DramaDrama,Slice of LifeSlice of Life,SupernaturalSupernatural","IyashikeiIyashikei,MythologyMythology",add some,"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",PG-13 - Teens 13 or older,Finished Airing,Shuka,"164,102"
82,Natsume Yuujinchou San,TV,夏目友人帳 参,"Jul 5, 2011 to Sep 27, 2011",13,24 min. per ep.,8.58,Manga,"DramaDrama,Slice of LifeSlice of Life,SupernaturalSupernatural","IyashikeiIyashikei,MythologyMythology","NIS America, Inc.","Aniplex,Sakura Create",PG-13 - Teens 13 or older,Finished Airing,Brain's Base,"230,302"
83,Shouwa Genroku Rakugo Shinjuu,TV,昭和元禄落語心中,"Jan 9, 2016 to Apr 2, 2016",13,26 min. per ep.,8.58,Manga,DramaDrama,"HistoricalHistorical,Love PolygonLove Polygon,Performing ArtsPerforming Arts",add some,"Starchild Records,Mainichi Broadcasting System,Kodansha,DAX Production",PG-13 - Teens 13 or older,Finished Airing,Studio Deen,"265,927"
84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,劇場版 天元突破グレンラガン 螺巌篇,22-Apr-09,1,2 hr. 5 min.,8.57,Original,"ActionAction,Sci-FiSci-Fi","MechaMecha,SpaceSpace,Super PowerSuper Power",Aniplex of America,Aniplex,R+ - Mild Nudity,Finished Airing,Gainax,"194,661"
85,Yojouhan Shinwa Taikei,TV,四畳半神話大系,"Apr 23, 2010 to Jul 2, 2010",11,23 min. per ep.,8.57,Novel,"ComedyComedy,MysteryMystery,RomanceRomance","PsychologicalPsychological,Time TravelTime Travel",Funimation,"Dentsu,Kadokawa Shoten,Fuji TV,Toho,Asmik Ace,Tohokushinsha Film Corporation,Sony Music Entertainment,Fujipacific Music",R - 17+ (violence & profanity),Finished Airing,Madhouse,"392,730"
86,Fruits Basket 2nd Season,TV,フルーツバスケット 2nd season,"Apr 7, 2020 to Sep 22, 2020",25,23 min. per ep.,8.57,Manga,"DramaDrama,RomanceRomance,SupernaturalSupernatural",None,Funimation,"TV Tokyo,TV Osaka,Nihon Ad Systems,Hakusensha,Avex Pictures,TMS Music,8PAN",PG-13 - Teens 13 or older,Finished Airing,TMS Entertainment,"402,282"
87,Kimi no Suizou wo Tabetai,Movie,君の膵臓をたべたい,1-Sep-18,1,1 hr. 48 min.,8.57,Novel,"DramaDrama,RomanceRomance,Slice of LifeSlice of Life",None,Aniplex of America,"Aniplex,ABC Animation",PG-13 - Teens 13 or older,Finished Airing,Studio VOLN,"771,756"
88,Fate/Zero 2nd Season,TV,フェイト/ゼロ 2ndシーズン,"Apr 8, 2012 to Jun 24, 2012",12,24 min. per ep.,8.56,Light novel,"ActionAction,FantasyFantasy,SupernaturalSupernatural",None,Aniplex of America,"Aniplex,Nitroplus,Seikaisha,Notes",R - 17+ (violence & profanity),Finished Airing,ufotable,"1,005,495"
89,Shoujo☆Kageki Revue Starlight Movie,Movie,劇場版 少女☆歌劇 レヴュースタァライト,4-Jun-21,1,2 hr.,8.56,Original,None,"MusicMusic,Performing ArtsPerforming Arts,SchoolSchool",Sentai Filmworks,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Kinema Citrus,"10,376"
90,Mushishi: Hihamukage,Special,蟲師 特別篇「日蝕む翳」,4-Jan-14,1,45 min.,8.55,Manga,"AdventureAdventure,FantasyFantasy,MysteryMystery,Slice of LifeSlice of Life,SupernaturalSupernatural","HistoricalHistorical,IyashikeiIyashikei",add some,"Aniplex,Kodansha,Delfi Sound",PG-13 - Teens 13 or older,Finished Airing,Artland,"124,956"
91,Neon Genesis Evangelion: The End of Evangelion,Movie,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,19-Jul-97,1,1 hr. 26 min.,8.55,Original,"Avant GardeAvant Garde,DramaDrama,Sci-FiSci-Fi","MechaMecha,PsychologicalPsychological",GKIDS,"TV Tokyo,Toei Animation,Kadokawa Shoten,Movic,Sega,TV Tokyo Music,Audio Tanaka",R+ - Mild Nudity,Finished Airing,Gainax,"791,064"
92,Zoku Natsume Yuujinchou,TV,続 夏目友人帳,"Jan 6, 2009 to Mar 31, 2009",13,24 min. per ep.,8.55,Manga,"DramaDrama,Slice of LifeSlice of Life,SupernaturalSupernatural","IyashikeiIyashikei,MythologyMythology","NIS America, Inc.","Aniplex,Nihon Ad Systems",PG-13 - Teens 13 or older,Finished Airing,Brain's Base,"227,327"
93,Bakuman. 3rd Season,TV,バクマン。,"Oct 6, 2012 to Mar 30, 2013",25,24 min. per ep.,8.55,Manga,"ComedyComedy,DramaDrama,RomanceRomance",Otaku CultureOtaku Culture,add some,"NHK,Shueisha",PG-13 - Teens 13 or older,Finished Airing,J.C.Staff,"306,609"
94,Kimetsu no Yaiba,TV,鬼滅の刃,"Apr 6, 2019 to Sep 28, 2019",26,23 min. per ep.,8.55,Manga,"ActionAction,FantasyFantasy",HistoricalHistorical,Aniplex of America,"Aniplex,Shueisha",R - 17+ (violence & profanity),Finished Airing,ufotable,"2,446,315"
95,Haikyuu!! To the Top Part 2,TV,ハイキュー TO THE TOP 第2クール,"Oct 3, 2020 to Dec 19, 2020",12,23 min. per ep.,8.54,Manga,SportsSports,"SchoolSchool,Team SportsTeam Sports",Sentai Filmworks,"Dentsu,Mainichi Broadcasting System,Movic,Sony Music Entertainment,TOHO animation,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"655,731"
96,Kara no Kyoukai Movie 5: Mujun Rasen,Movie,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,16-Aug-08,1,1 hr. 54 min.,8.54,Light novel,"ActionAction,DramaDrama,MysteryMystery,RomanceRomance,SupernaturalSupernatural,SuspenseSuspense",None,Aniplex of America,Notes,R - 17+ (violence & profanity),Finished Airing,ufotable,"219,242"
97,Kenpuu Denki Berserk,TV,剣風伝奇ベルセルク,"Oct 8, 1997 to Apr 1, 1998",25,25 min. per ep.,8.54,Manga,"ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy,HorrorHorror,SupernaturalSupernatural","GoreGore,MilitaryMilitary,MythologyMythology",Media Blasters,"VAP,Hakusensha,Nippon Television Network",R+ - Mild Nudity,Finished Airing,OLM,"540,900"
98,Slam Dunk,TV,スラムダンク,"Oct 16, 1993 to Mar 23, 1996",101,23 min. per ep.,8.54,Manga,SportsSports,"SchoolSchool,Team SportsTeam Sports",Flatiron Film Company,"TV Asahi,Animax",PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"256,065"
99,Sora yori mo Tooi Basho,TV,宇宙よりも遠い場所,"Jan 2, 2018 to Mar 27, 2018",13,23 min. per ep.,8.54,Original,"AdventureAdventure,ComedyComedy,DramaDrama",None,add some,"Media Factory,Movic,AT-X,Sony Music Communications,Docomo Anime Store,Kadokawa Media House,Kadokawa,NewGin,Crunchyroll SC Anime Fund",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"439,643"
100,Yakusoku no Neverland,TV,約束のネバーランド,"Jan 10, 2019 to Mar 29, 2019",12,22 min. per ep.,8.54,Manga,"MysteryMystery,Sci-FiSci-Fi,SuspenseSuspense","PsychologicalPsychological,SurvivalSurvival",Aniplex of America,"Aniplex,Dentsu,Fuji TV,Shueisha,CA-Cygames Anime Fund",R - 17+ (violence & profanity),Finished Airing,CloverWorks,"1,692,318"
101,Perfect Blue,Movie,パーフェクトブルー,28-Feb-98,1,1 hr. 21 min.,8.53,Novel,"Avant GardeAvant Garde,DramaDrama,HorrorHorror","Adult CastAdult Cast,PsychologicalPsychological,ShowbizShowbiz",GKIDS,Rex Entertainment,R+ - Mild Nudity,Finished Airing,Madhouse,"568,318"
102,Shingeki no Kyojin,TV,進撃の巨人,"Apr 7, 2013 to Sep 29, 2013",25,24 min. per ep.,8.53,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Mad Box,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,Wit Studio,"3,433,824"
103,Yuru Camp△ Season 2,TV,ゆるキャン△ SEASON2,"Jan 7, 2021 to Apr 1, 2021",13,23 min. per ep.,8.53,Manga,Slice of LifeSlice of Life,"CGDCTCGDCT,IyashikeiIyashikei",add some,"Half H.P Studio,MAGES.,DeNA",PG-13 - Teens 13 or older,Finished Airing,C-Station,"180,482"
104,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,劇場版「Fate/stay night [Heaven's Feel] II.lost butterfly」,12-Jan-19,1,1 hr. 57 min.,8.53,Visual novel,"ActionAction,FantasyFantasy,SupernaturalSupernatural",None,Aniplex of America,"Aniplex,Notes,Kadokawa",R - 17+ (violence & profanity),Finished Airing,ufotable,"323,536"
105,Gintama.: Porori-hen,TV,銀魂。ポロリ編,"Oct 2, 2017 to Dec 25, 2017",13,23 min. per ep.,8.53,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"173,808"
106,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,劇場版 銀魂 新訳紅桜篇,24-Apr-10,1,1 hr. 35 min.,8.52,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","HistoricalHistorical,ParodyParody,SamuraiSamurai",Sentai Filmworks,"TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros. Japan,Shueisha",R - 17+ (violence & profanity),Finished Airing,Sunrise,"145,887"
107,Jujutsu Kaisen 0 Movie,Movie,劇場版 呪術廻戦 0,24-Dec-21,1,1 hr. 45 min.,8.52,Manga,"ActionAction,FantasyFantasy",SchoolSchool,Crunchyroll,"Mainichi Broadcasting System,TOHO animation,Shueisha,Sumzap,Studio Easter",R - 17+ (violence & profanity),Finished Airing,MAPPA,"413,732"
108,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,攻殻機動隊 S.A.C. 2nd GIG,"Jan 1, 2004 to Jan 8, 2005",26,25 min. per ep.,8.52,Manga,"ActionAction,MysteryMystery,Sci-FiSci-Fi","Adult CastAdult Cast,DetectiveDetective,MechaMecha,MilitaryMilitary",Bandai Entertainment,"Bandai Visual,Dentsu,Victor Entertainment,Kodansha,Tokuma Shoten,Nippon Television Network",R - 17+ (violence & profanity),Finished Airing,Production I.G,"211,247"
109,Nana,TV,NANA [ナナ],"Apr 5, 2006 to Mar 28, 2007",47,23 min. per ep.,8.52,Manga,"DramaDrama,RomanceRomance,Slice of LifeSlice of Life","Adult CastAdult Cast,Love PolygonLove Polygon,MusicMusic",VIZ Media,"VAP,Nippon Television Network,Shueisha",R+ - Mild Nudity,Finished Airing,Madhouse,"550,575"
110,Steins;Gate 0,TV,シュタインズ・ゲート ゼロ,"Apr 12, 2018 to Sep 27, 2018",23,23 min. per ep.,8.52,Visual novel,"DramaDrama,Sci-FiSci-Fi,SuspenseSuspense",Time TravelTime Travel,Funimation,"Frontier Works,Media Factory,Kadokawa Shoten,Movic",PG-13 - Teens 13 or older,Finished Airing,White Fox,"762,219"
111,One Punch Man,TV,ワンパンマン,"Oct 5, 2015 to Dec 21, 2015",12,24 min. per ep.,8.51,Web manga,"ActionAction,ComedyComedy","ParodyParody,Super PowerSuper Power",VIZ Media,"TV Tokyo,Bandai Visual,Lantis,Asatsu DK,Banpresto,Good Smile Company,Shueisha,JR East Marketing & Communications",R - 17+ (violence & profanity),Finished Airing,Madhouse,"2,803,838"
112,Ansatsu Kyoushitsu 2nd Season,TV,暗殺教室　第２期,"Jan 8, 2016 to Jul 1, 2016",25,23 min. per ep.,8.51,Manga,"ActionAction,ComedyComedy",SchoolSchool,Funimation,"Dentsu,Studio Hibari,Fuji TV,DAX Production,Avex Pictures,Shueisha,Kansai Telecasting",PG-13 - Teens 13 or older,Finished Airing,Lerche,"1,236,967"
113,Aria the Origination,TV,ARIA The ORIGINATION,"Jan 8, 2008 to Apr 1, 2008",13,24 min. per ep.,8.5,Manga,"FantasyFantasy,Sci-FiSci-Fi,Slice of LifeSlice of Life",IyashikeiIyashikei,Nozomi Entertainment,"Production I.G,TV Tokyo,Media Factory,Shochiku,Mag Garden",G - All Ages,Finished Airing,Hal Film Maker,"115,511"
114,Banana Fish,TV,BANANA FISH,"Jul 6, 2018 to Dec 21, 2018",24,22 min. per ep.,8.5,Manga,"ActionAction,AdventureAdventure,DramaDrama",DelinquentsDelinquents,add some,"Aniplex,Dentsu,Movic,Fuji TV,Shogakukan",R - 17+ (violence & profanity),Finished Airing,MAPPA,"715,450"
115,Hotaru no Haka,Movie,火垂るの墓,16-Apr-88,1,1 hr. 28 min.,8.5,Novel,DramaDrama,HistoricalHistorical,ADV Films,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Studio Ghibli,"578,520"
116,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,"Apr 2, 2016 to Dec 24, 2016",39,23 min. per ep.,8.5,Manga,"ActionAction,AdventureAdventure,ComedyComedy,DramaDrama,SupernaturalSupernatural",None,VIZ Media,"Warner Bros. Japan,KlockWorx,Medicos Entertainment,Shueisha",R - 17+ (violence & profanity),Finished Airing,David Production,"937,472"
117,Karakai Jouzu no Takagi-san 3,TV,からかい上手の高木さん3,"Jan 8, 2022 to Mar 26, 2022",12,24 min. per ep.,8.5,Manga,ComedyComedy,"IyashikeiIyashikei,Romantic SubtextRomantic Subtext,SchoolSchool",Sentai Filmworks,"Shogakukan-Shueisha Productions,Magic Capsule,Asmik Ace,TOHO animation,Shogakukan,Toho Music",PG-13 - Teens 13 or older,Finished Airing,Shin-Ei Animation,"133,793"
118,Samurai Champloo,TV,サムライチャンプルー,"May 20, 2004 to Mar 19, 2005",26,24 min. per ep.,8.5,Original,"ActionAction,AdventureAdventure,ComedyComedy","HistoricalHistorical,SamuraiSamurai",Funimation,"Victor Entertainment,Fuji TV,Barnum Studio,Tokuma Shoten,flying DOG",R - 17+ (violence & profanity),Finished Airing,Manglobe,"1,103,643"
119,Shingeki no Kyojin Season 2,TV,進撃の巨人 Season2,"Apr 1, 2017 to Jun 17, 2017",12,24 min. per ep.,8.5,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,Wit Studio,"2,324,239"
120,Uchuu Kyoudai,TV,宇宙兄弟,"Apr 1, 2012 to Mar 22, 2014",99,24 min. per ep.,8.5,Manga,"ComedyComedy,Sci-FiSci-Fi,Slice of LifeSlice of Life","Adult CastAdult Cast,SpaceSpace,WorkplaceWorkplace",Sentai Filmworks,"Aniplex,Dentsu,YTV,Trinity Sound",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"175,824"
121,Rainbow: Nisha Rokubou no Shichinin,TV,RAINBOW 二舎六房の七人,"Apr 7, 2010 to Sep 29, 2010",26,22 min. per ep.,8.49,Manga,"DramaDrama,SuspenseSuspense","DelinquentsDelinquents,HistoricalHistorical",Funimation,"VAP,Nippon Television Network",R - 17+ (violence & profanity),Finished Airing,Madhouse,"359,211"
122,Tian Guan Ci Fu Special,ONA,天官赐福特别节目,16-Feb-21,1,22 min.,8.49,Web novel,"DramaDrama,SupernaturalSupernatural",HistoricalHistorical,add some,bilibili,PG-13 - Teens 13 or older,Finished Airing,Haoliners Animation League,"30,964"
123,Mob Psycho 100,TV,モブサイコ100,"Jul 11, 2016 to Sep 27, 2016",12,24 min. per ep.,8.48,Web manga,"ActionAction,ComedyComedy,SupernaturalSupernatural",Super PowerSuper Power,Funimation,"Warner Bros. Japan,KlockWorx,BS Fuji,Hakuhodo DY Music & Pictures,Shogakukan",PG-13 - Teens 13 or older,Finished Airing,Bones,"1,734,638"
124,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,Re：ゼロから始める異世界生活,"Jan 6, 2021 to Mar 24, 2021",12,28 min. per ep.,8.48,Light novel,"DramaDrama,FantasyFantasy,SuspenseSuspense","IsekaiIsekai,PsychologicalPsychological,Time TravelTime Travel",add some,"AT-X,Memory-Tech,Hakuhodo DY Music & Pictures,Kadokawa Media House,Kadokawa",R - 17+ (violence & profanity),Finished Airing,White Fox,"703,206"
125,Chihayafuru 3,TV,ちはやふる 3,"Oct 23, 2019 to Mar 25, 2020",24,22 min. per ep.,8.48,Manga,"DramaDrama,Slice of LifeSlice of Life,SportsSports","Love PolygonLove Polygon,SchoolSchool,Strategy GameStrategy Game",Sentai Filmworks,"Kodansha,Nippon Television Network,TC Entertainment,Nippon Television Music,FBC",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"119,879"
126,Gintama: The Semi-Final,Special,銀魂 THE SEMI-FINAL,"Jan 15, 2021 to Jan 20, 2021",2,24 min. per ep.,8.47,Manga,"ActionAction,ComedyComedy","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"56,055"
127,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,映画 この素晴らしい世界に祝福を！紅伝説,30-Aug-19,1,1 hr. 30 min.,8.47,Light novel,"AdventureAdventure,ComedyComedy,FantasyFantasy","IsekaiIsekai,ParodyParody,ReincarnationReincarnation",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,J.C.Staff,"640,930"
128,Mo Dao Zu Shi,ONA,魔道祖师,"Jul 9, 2018 to Oct 6, 2018",15,25 min. per ep.,8.47,Web novel,"ActionAction,AdventureAdventure,FantasyFantasy,MysteryMystery,SupernaturalSupernatural","HistoricalHistorical,MythologyMythology",add some,Tencent Penguin Pictures,R - 17+ (violence & profanity),Finished Airing,B.CMAY PICTURES,"193,351"
129,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,劇場版 魔法少女まどか☆マギカ 叛逆の物語,26-Oct-13,1,1 hr. 56 min.,8.46,Original,"DramaDrama,MysteryMystery,SuspenseSuspense","Mahou ShoujoMahou Shoujo,PsychologicalPsychological",Aniplex of America,"Aniplex,Mainichi Broadcasting System,Movic,Nitroplus,Houbunsha",PG-13 - Teens 13 or older,Finished Airing,Shaft,"338,720"
130,Nichijou,TV,日常,"Apr 3, 2011 to Sep 25, 2011",26,23 min. per ep.,8.46,Manga,ComedyComedy,"Gag HumorGag Humor,SchoolSchool",Funimation,"Lantis,Kadokawa Shoten,Movic,Rakuonsha,Kadokawa Pictures Japan,KlockWorx,Animation Do",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"789,051"
131,Owarimonogatari,TV,終物語,"Oct 4, 2015 to Dec 20, 2015",12,26 min. per ep.,8.46,Light novel,"ComedyComedy,MysteryMystery,SupernaturalSupernatural",VampireVampire,Aniplex of America,Aniplex,R - 17+ (violence & profanity),Finished Airing,Shaft,"435,090"
132,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,劇場版 シュタインズゲート 負荷領域のデジャヴ,20-Apr-13,1,1 hr. 30 min.,8.46,Visual novel,"DramaDrama,Sci-FiSci-Fi",None,Funimation,"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,MAGES.",PG-13 - Teens 13 or older,Finished Airing,White Fox,"535,764"
133,Zoku Owarimonogatari,Movie,続・終物語,10-Nov-18,6,28 min. per ep.,8.46,Light novel,"ComedyComedy,MysteryMystery,SupernaturalSupernatural",VampireVampire,Aniplex of America,"Aniplex,Kodansha",R - 17+ (violence & profanity),Finished Airing,Shaft,"197,840"
134,Mo Dao Zu Shi: Xian Yun Pian,ONA,魔道祖师 羡云篇,"Aug 3, 2019 to Sep 21, 2019",8,24 min. per ep.,8.45,Web novel,"ActionAction,FantasyFantasy,MysteryMystery,SupernaturalSupernatural","HistoricalHistorical,MythologyMythology",add some,Tencent Penguin Pictures,R - 17+ (violence & profanity),Finished Airing,B.CMAY PICTURES,"85,151"
135,Saenai Heroine no Sodatekata Fine,Movie,冴えない彼女の育てかた Fine,26-Oct-19,1,1 hr. 54 min.,8.45,Light novel,"ComedyComedy,RomanceRomance,EcchiEcchi","HaremHarem,Otaku CultureOtaku Culture,SchoolSchool",add some,Aniplex,PG-13 - Teens 13 or older,Finished Airing,CloverWorks,"151,171"
136,Vivy: Fluorite Eye's Song,TV,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),"Apr 3, 2021 to Jun 19, 2021",13,24 min. per ep.,8.45,Original,"ActionAction,Sci-FiSci-Fi,SuspenseSuspense","MusicMusic,Time TravelTime Travel",Aniplex of America,Aniplex,R - 17+ (violence & profanity),Finished Airing,Wit Studio,"423,183"
